User,Comment Date,Comment
بهناز آزادی,۱۴۰۰-۰۹-۲۰,من یه دوره استفاده کردم خیلی خیلی خوب و موثر بود. پوستم قشنگ آبرسانی شد. من پوستم چرب هست ولی خیلی دهیدراته بود. این کرم آبرسانی خیلی قوی ای داشت برای پوست من. اصلا باعث جوش نشد. من روی بو خیلی حساس هستم. کرم معطری هست ولی بوی خیلی ملایم و خوبی داره و اصلا بوی صابون نمیده. بعد از مصرف یه حالت چسبناک روی پوست داره که طی ۱ ۲ دقیقه وقتی خشک بشه از بین میره
سمیرا فروتن کیا,۱۴۰۰-۰۹-۱۹,سلام من چند هفته اس از این سرم استفاده می‌کنم تاثیر گذاریش عالیه خیلی سبکه و خیلی سریع جذب پوست میشه اصلا جوش نزدم و تنها ایرادش پمپشه
ایزدی ایزدی,۱۴۰۰-۰۹-۱۸,آبرسان فوق العاده قوی است و پوست را احیا میکنه و در هفته های اول عملکرد خودش رو به خوبی نشون میده
ترانه حسینی,۱۴۰۰-۰۹-۱۶,آبرسان مناسبی برای پوست های خشک و دهیدراته است ولی حجمش کم است
شیما خرسند,۱۴۰۰-۰۹-۱۴,من حدودا ۲ ماه که ازین محصول استفاده میکنم پمپش یکم حساسه باید مواظب باشین زود خراب نشه بعد از استفاده هم یکم چسبناک میشه صورت کاش اینجوری نبود
سها خدادادی,۱۴۰۰-۰۸-۰۳,خيلي عاليه من هشت ماهي ميشه استفاده ميكنم پوستمو خيلي بهتر از قبل كرده اصلا باعث جوش نشد خيلي خوب جذب ميشه خيلي راضيم ازش من صورتمم باهاش ماساژ ميدم باعث شد گونه هام خيلي برجسته تر از قبل بشه
آتنا شاه حسینی,۱۴۰۰-۰۷-۱۵,واقعا سرم خوبی بود. هر دوبارشو از روژا گرفتم. بار اول از روی نظرات انتخابش کردم. ترکیب تونیک و این سرم ابرسان و کرم ضد چروک +۲۵ به نظرم روتین مناسبی برای شروع بود
شیما رحمان پور,۱۴۰۰-۰۶-۲۳,محصول خوبی بود. اما پمپش مشکل داشت و باید با احتیاط فشار میدادی
بهاره آمره,۱۴۰۰-۰۵-۳۱,عالیه این محصول سریع جذب صورت میشه و خاصیت چسبندگی کمی داره ... که کاملا طبیعی هستش من خیلی راضی هستم ازش
حسین خدایاری,۱۴۰۰-۰۵-۲۹,بسیار سبک و عالی.زود جذب پوست میشه چسبنده نیست من راضی بودم
گلنوش صارمی,۱۴۰۰-۰۵-۲۴,پوستم به شدت کم اب شده بود و دکتر بهم گفت که حتما از یه ابرسان استفاده کنم،این ابرسان رو‌تهیه کردم از نظر ابرسانی خوب عمل میکنه و خشکیهای سطحی رو از بین میبره،تنها چیزی که یکم توی این محصول اذیت کننده است حالت چسبناکیش هست که تا نیم ساعت تقریبا روی پوست میمونه و اگر لوازم ارایش بخواید بعدش استفاده کنید باید صبر کنید تا کامل جذب پوست بشه
ساناز ارجمند,۱۴۰۰-۰۵-۲۴,حدود دوماهه که ازش استفاده میکنم..پوستم نرماله.اصلا باعث جوش برام نشده و پوستمو خوب آبرسانی کرده،قبلش صورت یه کم مرطوب باشه که میشه ازاسپری آب استفاده کرد و بعدشم کرم شب یا مرطوب کننده بزنین
ژاله مطلوب طلب,۱۴۰۰-۰۵-۲۴,من پوست مختلط و حساسی دارم این آبرسان بسیار سبک هست و کیفیتش خوبه برای من که از لایه بردار دارم استفاده میکنم خوب بود تنها مشکلش پمپش هست که باید روی دستت بگیری به جایی پرتاب نشه کمی چسبندگی داره
هلیا کریم زاده,۱۴۰۰-۰۵-۲۴,به شدت ازین محصول راضی هستم ، پوست به شدت دهیدراته ای داشتم اما بعد از استفاده ازین آب رسان خیلی پوستم شاداب تر شده و دیگه احساس خشکی و کشیدگی نمی کنم
گلناز حسن آبادی,۱۴۰۰-۰۵-۲۴,همیشه وقتی کرمپودر یا ضد افتاب کرم پودری میزدم روی پوستم پر خطهای ریز میشد از بس پوستم خشک بود از طرفی هم منافذ پوستم خ زشت مشخص میشد بعد استفاده این محصول دیگه هیچ کدوم از این مشکلات رو ندارم خداروشکر ک احساس جوانی میکنم
بهناز باشباغی,۱۴۰۰-۰۵-۲۴,خوب من استفاده کردم راضی هستم
سودابه هاشمی,۱۴۰۰-۰۵-۲۴,با سلام من در طول سال گذشته تا الان سه بار این محصول را به همراه کرم ضد چروک بایومارین خریده ام .و برای اولین بار از یک محصول ایرانی کاملا لذت بردم .چون این سرم کاملا جذب پوستم می شود و حس خوبی می دهد .البته برای تاثیر بهتر دو دقیقه بعد از این سرم کرم ضد چروک را روی آن میزنم .در کل از کیفیت و بسته بندی و بوی محصول و تاثیر گذاری آن بسیار راضی هستم.
