Product Name,Product Code,Product Price,Product Link
سرم آبرسان پوست 40 میل بایومارین,23220,"۴۸۰,۰۰۰ تومان",https://rojashop.com/shop/behdashti/%D8%B3%D8%B1%D9%85-%D8%A2%D8%A8%D8%B1%D8%B3%D8%A7%D9%86-%D9%BE%D9%88%D8%B3%D8%AA
کرم دور چشم ضد تیرگی و پف درماتیپیک,29379,"۱۹۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%DA%A9%D8%B1%D9%85-%D8%AF%D9%88%D8%B1-%DA%86%D8%B4%D9%85-%D8%B6%D8%AF-%D8%AA%DB%8C%D8%B1%DA%AF%DB%8C-%D9%88-%D9%BE%D9%81
کرم دور چشم ضد چروک درماتیپیک,27791,"۱۹۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%DA%A9%D8%B1%D9%85-%D8%AF%D9%88%D8%B1-%DA%86%D8%B4%D9%85-%D8%B6%D8%AF-%DA%86%D8%B1%D9%88%DA%A9
بی بی کرم SPF20 درماتیپیک,32803,"۱۵۸,۲۲۴ تومان",https://rojashop.com/shop/cosmetic/%D8%A8%DB%8C-%D8%A8%DB%8C-%DA%A9%D8%B1%D9%85-spf20
ژل پاک کننده پوست چرب و کنترل کننده چربی اریکه,34224,"۲۹۸,۶۳۴ تومان",https://rojashop.com/shop/behdashti/%DA%98%D9%84-%D9%BE%D8%A7%DA%A9-%DA%A9%D9%86%D9%86%D8%AF%D9%87-%D9%BE%D9%88%D8%B3%D8%AA-%DA%86%D8%B1%D8%A8-%D9%88-%DA%A9%D9%86%D8%AA%D8%B1%D9%84-%DA%A9%D9%86%D9%86%D8%AF%D9%87-%DA%86%D8%B1%D8%A8%DB%8C
ریمل دراما کاپریس,13940,"۴۹۳,۰۰۰ تومان",https://rojashop.com/shop/cosmetic/%D8%B1%DB%8C%D9%85%D9%84-%D8%AF%D8%B1%D8%A7%D9%85%D8%A7
ضد آفتاب بی‌رنگ فاقد چربی +SPF50 درماتیپیک,28386,"۲۲۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%D8%B6%D8%AF-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF-%D9%81%D8%A7%D9%82%D8%AF-%DA%86%D8%B1%D8%A8%DB%8C-spf50-1
ژل کرم مرطوب کننده هیال اسکین وان,34604,"۱۴۳,۸۲۰ تومان",https://rojashop.com/shop/behdashti/%DA%98%D9%84-%DA%A9%D8%B1%D9%85-%D9%85%D8%B1%D8%B7%D9%88%D8%A8-%DA%A9%D9%86%D9%86%D8%AF%D9%87-%D9%87%DB%8C%D8%A7%D9%84
کرم مرطوب کننده مغذی هیال اسکین وان,34603,"۱۰۵,۱۳۸ تومان",https://rojashop.com/shop/behdashti/%DA%A9%D8%B1%D9%85-%D9%85%D8%B1%D8%B7%D9%88%D8%A8-%DA%A9%D9%86%D9%86%D8%AF%D9%87-%D9%85%D8%BA%D8%B0%DB%8C-%D9%87%DB%8C%D8%A7%D9%84
ضد آفتاب بی رنگ هیدرا مناسب پوست خشک +SPF50 درماتیپیک,31064,"۲۲۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%D8%B6%D8%AF-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF-%D9%87%DB%8C%D8%AF%D8%B1%D8%A7-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D9%BE%D9%88%D8%B3%D8%AA-%D8%AE%D8%B4%DA%A9-spf50
کرم دور چشم ویتامین سی 5% اسکین وان,34597,"۱۲۵,۸۲۰ تومان",https://rojashop.com/shop/behdashti/%DA%A9%D8%B1%D9%85-%D8%AF%D9%88%D8%B1-%DA%86%D8%B4%D9%85-%D9%88%DB%8C%D8%AA%D8%A7%D9%85%DB%8C%D9%86-%D8%B3%DB%8C-5
کرم آنتی اکسیدان دور چشم حاوی ویتامین C ورونیک,34297,"۳۴۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%DA%A9%D8%B1%D9%85-%D8%A2%D9%86%D8%AA%DB%8C-%D8%A7%DA%A9%D8%B3%DB%8C%D8%AF%D8%A7%D9%86-%D8%AF%D9%88%D8%B1-%DA%86%D8%B4%D9%85-%D8%AD%D8%A7%D9%88%DB%8C-%D9%88%DB%8C%D8%AA%D8%A7%D9%85%DB%8C%D9%86-c
کرم شب بهبود دهنده چروک ورونیک,37207,"۵۵۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%DA%A9%D8%B1%D9%85-%D8%B4%D8%A8-%D8%A8%D9%87%D8%A8%D9%88%D8%AF-%D8%AF%D9%87%D9%86%D8%AF%D9%87-%DA%86%D8%B1%D9%88%DA%A9
پک محلول ضد لک و ضد چروک صورت،گردن و دکلته بایومارین,37139,"۱,۴۶۵,۰۰۰ تومان",https://rojashop.com/shop/behdashti/%D9%BE%DA%A9-%D9%85%D8%AD%D9%84%D9%88%D9%84-%D8%B6%D8%AF-%D9%84%DA%A9-%D9%88-%D8%B6%D8%AF-%DA%86%D8%B1%D9%88%DA%A9-%D8%B5%D9%88%D8%B1%D8%AA-%DA%AF%D8%B1%D8%AF%D9%86-%D9%88-%D8%AF%DA%A9%D9%84%D8%AA%D9%87
محلول پاک کننده آرایش چشم وصورت ورونیک,37206,"۳۴۹,۸۰۰ تومان",https://rojashop.com/shop/behdashti/%D9%85%D8%AD%D9%84%D9%88%D9%84-%D9%BE%D8%A7%DA%A9-%DA%A9%D9%86%D9%86%D8%AF%D9%87-%D8%A2%D8%B1%D8%A7%D9%8A%D8%B4-%DA%86%D8%B4%D9%85-%D9%88%D8%B5%D9%88%D8%B1%D8%AA
